_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_META_TITLE_,_META_H1_,_META_KEYWORDS_,_SEO_KEYWORD_,_META_DESCRIPTION_,_DESCRIPTION_,_PRICE_,_IMAGE_
7731,Источники электропитания|Источники бесперебойного питания 24В|СКАТ СКАТ-2400И7 исп. 5000,СКАТ,СКАТ СКАТ-2400И7 исп. 5000,СКАТ СКАТ-2400И7 исп. 5000,СКАТ СКАТ-2400И7 исп. 5000,"Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2400И7 исп. 5000,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2400И7 исп. 5000,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Бастион СКАТ-2400И7 исп. 5000 - трансформаторный блок питания в большом корпусе с 2 АКБ с емкостью до 40 Ач,с качественным широтно-импульсным стабилизатором выходного напряжения.Бастион СКАТ-2400И7 исп. 5000 предназначен для обеспечения бесперебойной рабо","Бастион СКАТ-2400И7 исп. 5000 - трансформаторный блок питания в большом корпусе с 2 АКБ с емкостью до 40 Ач,с качественным широтно-импульсным стабилизатором выходного напряжения.Бастион СКАТ-2400И7 исп. 5000 предназначен для обеспечения бесперебойной работы систем охранно-пожарной сигнализации, в состав которых входят приборы с напряжением в цепях питания 24В. Рекомендуется применять на объектах, где требуется мощное, но недорогое резервное питание и допустимо использование импульсного источника.",6700,catalog/img/7731.jpg
7732,Источники электропитания|Источники бесперебойного питания 24В|СКАТ СКАТ-2400М,СКАТ,СКАТ СКАТ-2400М,СКАТ СКАТ-2400М,СКАТ СКАТ-2400М,"Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2400М,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2400М,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник вторичного электропитания резервированный Бастион СКАТ-2400М предназначен для обеспечения бесперебойным питанием систем охранно-пожарной сигнализации и других потребителей с токами нагрузки от 0,3 до 2,0А при номинальном напряжении 24В постоянног","Источник вторичного электропитания резервированный Бастион СКАТ-2400М предназначен для обеспечения бесперебойным питанием систем охранно-пожарной сигнализации и других потребителей с токами нагрузки от 0,3 до 2,0А при номинальном напряжении 24В постоянного тока во время отключения электроэнергии в сетях питания.Источник предназначен для эксплуатации в закрытых помещениях.Устройство контроля напряжения на батарее имеет один порог срабатывания.",2800,catalog/img/7732.jpg
7733,Источники электропитания|Источники бесперебойного питания 24В|СКАТ СКАТ-2412,СКАТ,СКАТ СКАТ-2412,СКАТ СКАТ-2412,СКАТ СКАТ-2412,"Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2412,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2412,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник вторичного электропитания резервированный Бастион СКАТ-2412 предназначен для обеспечения бесперебойным питанием систем охранно-пожарной сигнализации, систем видеонаблюдения и других потребителей с напряжением питания 24В. Источник предназначен дл","Источник вторичного электропитания резервированный Бастион СКАТ-2412 предназначен для обеспечения бесперебойным питанием систем охранно-пожарной сигнализации, систем видеонаблюдения и других потребителей с напряжением питания 24В. Источник предназначен для эксплуатации в закрытых помещениях.Блок оснащен защитой от неправильного подключения клемм батареи. При обратном включении клемм батареи сгорает аккумуляторный предохранитель.",5500,catalog/img/7733.jpg
7734,Источники электропитания|Источники бесперебойного питания до 12В|СКАТ СКАТ-1200Р20,СКАТ,СКАТ СКАТ-1200Р20,СКАТ СКАТ-1200Р20,СКАТ СКАТ-1200Р20,"Источники электропитания,Источники бесперебойного питания до 12В,СКАТ СКАТ-1200Р20,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания до 12В,СКАТ СКАТ-1200Р20,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник резервного электропитания Бастион СКАТ-1200Р20 предназначен для обеспечения резервным питанием систем охранно-пожарной сигнализации, систем видеонаблюдения и других потребителей с током потребления до 20 А постоянным напряжением 10,0 – 13,9 В, а ","Источник резервного электропитания Бастион СКАТ-1200Р20 предназначен для обеспечения резервным питанием систем охранно-пожарной сигнализации, систем видеонаблюдения и других потребителей с током потребления до 20 А постоянным напряжением 10,0 – 13,9 В, а также для заряда свинцово–кислотных аккумуляторов. Источник Бастион СКАТ-1200Р20 оснащен отдельными входом и выходом для каскадного подключения таких же источников и может использоваться для резервного питания источников вторичного электропитания резервированных Скат-1200, Скат-1200М, Скат-1200У, имеющих специальный вход для подключения источников резервного питания. Источник предназначен для эксплуатации в закрытых помещениях. ",4500,catalog/img/7734.jpg
7735,Источники электропитания|Источники бесперебойного питания 24В|СКАТ СКАТ-2400Р20,СКАТ,СКАТ СКАТ-2400Р20,СКАТ СКАТ-2400Р20,СКАТ СКАТ-2400Р20,"Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2400Р20,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания 24В,СКАТ СКАТ-2400Р20,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник резервного питания Бастион СКАТ-2400Р20 предназначен для обеспечения резервным питанием 24 В постоянного тока систем охранно-пожарной сигнализации, систем видеонаблюдения, мини-АТС и других потребителей с токами потребления до 20 А при отключении","Источник резервного питания Бастион СКАТ-2400Р20 предназначен для обеспечения резервным питанием 24 В постоянного тока систем охранно-пожарной сигнализации, систем видеонаблюдения, мини-АТС и других потребителей с токами потребления до 20 А при отключении напряжения электрической сети 220 В. При наличии напряжения сети источник обеспечивает оптимальный режим заряда внешней аккумуляторной батареи (АКБ), состоящей из двух последовательно соединенных свинцово-кислотных аккумуляторов с номинальным напряжение 12 В и емкостью 26 Ач каждый. ",6000,catalog/img/7735.jpg
7736,Источники электропитания|Источники бесперебойного питания 220В|СКАТ ББП SKAT - V.1 (СКАТ-220),СКАТ,СКАТ ББП SKAT - V.1 (СКАТ-220),СКАТ ББП SKAT - V.1 (СКАТ-220),СКАТ ББП SKAT - V.1 (СКАТ-220),"Источники электропитания,Источники бесперебойного питания 220В,СКАТ ББП SKAT - V.1 (СКАТ-220),СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания 220В,СКАТ ББП SKAT - V.1 (СКАТ-220),СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",АНАЛОГ ВЗАМЕН: Бастион ББП SKAT - V.5,АНАЛОГ ВЗАМЕН: Бастион ББП SKAT - V.5,0,catalog/img/7736.jpg
7737,Источники электропитания|Источники бесперебойного питания для CCTV|СКАТ SKAT-V.16,СКАТ,СКАТ SKAT-V.16,СКАТ SKAT-V.16,СКАТ SKAT-V.16,"Источники электропитания,Источники бесперебойного питания для CCTV,СКАТ SKAT-V.16,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания для CCTV,СКАТ SKAT-V.16,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник Бастион SKAT - V.16 предназначен для использования в системах видеонаблюдения, имеет 16 выходов по 0,5 А или 8 выходов по 1 А, защиту аккумулятора от глубокого разряда. Регулировка выходного напряжения.","Источник Бастион SKAT - V.16 предназначен для использования в системах видеонаблюдения, имеет 16 выходов по 0,5 А или 8 выходов по 1 А, защиту аккумулятора от глубокого разряда. Регулировка выходного напряжения.",11500,catalog/img/7737.jpg
7738,Источники электропитания|Источники бесперебойного питания до 12В|СКАТ ББП SKAT - V.2,СКАТ,СКАТ ББП SKAT - V.2,СКАТ ББП SKAT - V.2,СКАТ ББП SKAT - V.2,"Источники электропитания,Источники бесперебойного питания до 12В,СКАТ ББП SKAT - V.2,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания до 12В,СКАТ ББП SKAT - V.2,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности",Блок питания резервированный Бастион ББП SKAT - V.2 предназначен для питания видеокамер и других потребителей с номинальным рабочим напряжением 12 В. Устройство обеспечивает питание видеокамер и других потреби-телей посредством двух выходов с током нагруз,"Блок питания резервированный Бастион ББП SKAT - V.2 предназначен для питания видеокамер и других потребителей с номинальным рабочим напряжением 12 В. Устройство обеспечивает питание видеокамер и других потреби-телей посредством двух выходов с током нагрузки не более 0,3 А по каж-дому выходу. Допускается увеличение тока нагрузки более 0,3 А по одному из выходов при условии, что суммарный ток нагрузки по обоим выходам не будет превышать 0,6 А,также Бастион ББП SKAT - V.2 обеспечивает ограничение выходных напряжений на уровне не более 13 В, автоматический переход на резервное питание от аккумуляторной батареи при отключении сетевого источника питания,защиту аккумуляторной батареи от глубокого разряда и защиту выходов от короткого замыкания, а также защиту от переполюсовки аккумуляторной батареи посредст-вом плавких предохранителей. ",0,catalog/img/7738.jpg
7739,Источники электропитания|Источники бесперебойного питания 220В|СКАТ SKAT-V.24/220AC,СКАТ,СКАТ SKAT-V.24/220AC,СКАТ SKAT-V.24/220AC,СКАТ SKAT-V.24/220AC,"Источники электропитания,Источники бесперебойного питания 220В,СКАТ SKAT-V.24/220AC,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания 220В,СКАТ SKAT-V.24/220AC,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник питания Бастион СКАТ - V.24/220AC предназначен для обеспечения бесперебойным питанием систем охранно-пожарной и периметральной сигнализации, систем видеонаблюдения и других потребителей с номинальным напряжением питания 24 В и 220 В переменного т","Источник питания Бастион СКАТ - V.24/220AC предназначен для обеспечения бесперебойным питанием систем охранно-пожарной и периметральной сигнализации, систем видеонаблюдения и других потребителей с номинальным напряжением питания 24 В и 220 В переменного тока. Бастион СКАТ - V.24/220AC имеет герметичное исполнение, защиту аккумуляторов от глубокого разряда и предназначен для использования на открытом воздухе.",12700,catalog/img/7739.jpg
7740,Источники электропитания|Источники бесперебойного питания для CCTV|СКАТ SKAT - V.32,СКАТ,СКАТ SKAT - V.32,СКАТ SKAT - V.32,СКАТ SKAT - V.32,"Источники электропитания,Источники бесперебойного питания для CCTV,СКАТ SKAT - V.32,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источники электропитания,Источники бесперебойного питания для CCTV,СКАТ SKAT - V.32,СКАТ,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Источник питания для видеокамер SKAT-V.32 обеспечивает:
возможность ступенчатой регулировки напряжения каждой пары выходов от 12, 5 В до 16,8 В;
фильтрацию помех для устранения взаимного влияния нагрузок;
электронную защиту выходов от перегрузки по ток","Источник питания для видеокамер SKAT-V.32 обеспечивает:
возможность ступенчатой регулировки напряжения каждой пары выходов от 12, 5 В до 16,8 В;
фильтрацию помех для устранения взаимного влияния нагрузок;
электронную защиту выходов от перегрузки по току, в том числе короткого замыкания;
электронную защиту от перегрева; защиту устройства и нагрузки от неправильного подключения клемм внешней АКБ;
защиту от короткого замыкания клемм внешней АКБ;
контроль наличия внешней АКБ;
регулируемый ток заряда АКБ;
защиту АКБ от глубокого разряда в режиме «Резерв»;
защиту от аварийного повышения выходного напряжения путем автоматического отключения устройства;
выдачу информационных сообщений о состоянии источника по пяти выходам типа «открытый коллектор»;
индикацию «выход» по каждой паре каналов.",21800,catalog/img/7740.jpg
