_ID_,_MAIN_CATEGORY_,_MANUFACTURER_,_NAME_,_META_TITLE_,_META_H1_,_META_KEYWORDS_,_SEO_KEYWORD_,_META_DESCRIPTION_,_DESCRIPTION_,_PRICE_,_IMAGE_
4851,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Samsung,Samsung SNC-M300,Samsung SNC-M300,Samsung SNC-M300,"Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-M300,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-M300,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4851.jpg
4852,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Samsung,Samsung SNC-B2331P,Samsung SNC-B2331P,Samsung SNC-B2331P,"Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B2331P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B2331P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4852.jpg
4853,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Samsung,Samsung SNC-B2335P,Samsung SNC-B2335P,Samsung SNC-B2335P,"Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B2335P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B2335P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4853.jpg
4854,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Samsung,Samsung SNC-B5368P,Samsung SNC-B5368P,Samsung SNC-B5368P,"Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B5368P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B5368P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4854.jpg
4855,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Samsung,Samsung SNC-B5399HP,Samsung SNC-B5399HP,Samsung SNC-B5399HP,"Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B5399HP,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-B5399HP,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4855.jpg
4856,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Samsung,Samsung SNC-C6225P,Samsung SNC-C6225P,Samsung SNC-C6225P,"Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-C6225P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Samsung SNC-C6225P,Samsung,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4856.jpg
4857,"Системы контроля доступа|Замки, защелки, ручки|Замок электромагнитный",AccordTec,AccordTec ML-194K,AccordTec ML-194K,AccordTec ML-194K,"Системы контроля доступа,Замки, защелки, ручки,AccordTec ML-194K,AccordTec,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы контроля доступа,Замки, защелки, ручки,AccordTec ML-194K,AccordTec,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание Аккорд-СБ ML-194КЭлектромагнитный замок Аккорд-СБ ML-194К предназначен для использования в системах контроля доступа и автоматики пожарных и запасных выходов, а также в помещениях, где предъявляются самые жесткие требования к исполнительному меха","Описание Аккорд-СБ ML-194КЭлектромагнитный замок Аккорд-СБ ML-194К предназначен для использования в системах контроля доступа и автоматики пожарных и запасных выходов, а также в помещениях, где предъявляются самые жесткие требования к исполнительному механизму:высокая надежность;
исключительная износоустойчивость;
вандалозащищенность.Особенностью данного модельного ряда является величина максимального усилия на отрыв, которая составляет не менее 500 кг и большая пропускная способность.",2331,catalog/img/4857.jpg
4858,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Mobotix,Mobotix MX-Q24M-Sec-D22,Mobotix MX-Q24M-Sec-D22,Mobotix MX-Q24M-Sec-D22,"Системы видеонаблюдения,IP-видеонаблюдение,Mobotix MX-Q24M-Sec-D22,Mobotix,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Mobotix MX-Q24M-Sec-D22,Mobotix,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Mobotix MX-Q24M-Sec-D22 - компактная, защищенная от непогоды, сетевая купольная камера. Новая платформа P3, оснащенная более мощным процессором (до 20 к/с при максимальном разрешении). Полусферический дизайн позволяет наблюдать за всем пространством помещ","Mobotix MX-Q24M-Sec-D22 - компактная, защищенная от непогоды, сетевая купольная камера. Новая платформа P3, оснащенная более мощным процессором (до 20 к/с при максимальном разрешении). Полусферический дизайн позволяет наблюдать за всем пространством помещения. При установке ""на потолок"" угол обзора по горизонтали 360°. Цифровой зум 2х, 4х, 8Х ; поворот. Надежное решение без механически подвижных частей, разрешение до 3.1 Мпикс (2048х1536). Запись видео во внутренний буфер, питание по PoE. Не каждый сможет узнать в ней камеру видеонаблюдения. ",0,catalog/img/4858.jpg
4859,Системы видеонаблюдения|IP-видеонаблюдение|Сетевые IP камеры,Mobotix,Mobotix Q24M-Basic,Mobotix Q24M-Basic,Mobotix Q24M-Basic,"Системы видеонаблюдения,IP-видеонаблюдение,Mobotix Q24M-Basic,Mobotix,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,IP-видеонаблюдение,Mobotix Q24M-Basic,Mobotix,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Mobotix Q24M-Basic - компактная, защищенная от непогоды, сетевая купольная камера. Новая платформа P3, оснащенная более мощным процессором (до 20 к/с при максимальном разрешении). Полусферический дизайн позволяет наблюдать за всем пространством помещения.","Mobotix Q24M-Basic - компактная, защищенная от непогоды, сетевая купольная камера. Новая платформа P3, оснащенная более мощным процессором (до 20 к/с при максимальном разрешении). Полусферический дизайн позволяет наблюдать за всем пространством помещения. При установке ""на потолок"" угол обзора по горизонтали 360°. Цифровой зум 2х, 4х, 8Х ; поворот. Надежное решение без механически подвижных частей. Запись видео во внутренний буфер, питание по PoE. Не каждый сможет узнать в ней камеру видеонаблюдения.",0,catalog/img/4859.jpg
4861,Системы видеонаблюдения|Тестеры|Stream Labs TPG–8D,Stream Labs,Stream Labs TPG–8D,Stream Labs TPG–8D,Stream Labs TPG–8D,"Системы видеонаблюдения,Тестеры,Stream Labs TPG–8D,Stream Labs,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Системы видеонаблюдения,Тестеры,Stream Labs TPG–8D,Stream Labs,купить,спб,в сакнт-петербурге,игодно ру,igodno,магазин систем безопасности","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!","Описание товара можно найти на сайте производителя. В настоящий момент раздел находится в разработке, приносим извинения за неполноту описания. Обращаем ваше внимание, что при обращении по телефону наш менеджер обязательно проконсультирует Вас по товару или подскажет какой товар может быть найден взамен, с похожими характеристиками и функциональным предназначением. Благодарим за интерес к ассортименту компании!",0,catalog/img/4861.jpg
